2026-07-20 20:55:59,696 | INFO | FraudSystem | Dropping unused columns...
2026-07-20 20:55:59,696 | ERROR | FraudSystem | Training pipeline failed.
Traceback (most recent call last):
  File "C:\Users\user\Fraud_System\training\train.py", line 87, in train
    df = df.drop(columns=drop_columns)
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\user\Fraud_System\.venv\Lib\site-packages\pandas\core\frame.py", line 6300, in drop
    return super().drop(
           ^^^^^^^^^^^^^
  File "C:\Users\user\Fraud_System\.venv\Lib\site-packages\pandas\core\generic.py", line 4644, in drop
    obj = obj._drop_axis(labels, axis, level=level, errors=errors)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\user\Fraud_System\.venv\Lib\site-packages\pandas\core\generic.py", line 4686, in _drop_axis
    new_axis = axis.drop(labels, errors=errors)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\user\Fraud_System\.venv\Lib\site-packages\pandas\core\indexes\base.py", line 7268, in drop
    raise KeyError(f"{labels[mask].tolist()} not found in axis")
KeyError: "['account_number'] not found in axis"
2026-07-20 20:58:15,537 | INFO | FraudSystem | ============================================================
2026-07-20 20:58:15,537 | INFO | FraudSystem | Starting Fraud Model Training
2026-07-20 20:58:15,537 | INFO | FraudSystem | ============================================================
2026-07-20 20:58:15,537 | INFO | FraudSystem | Loading dataset...
2026-07-20 20:58:15,537 | INFO | FraudSystem | Loading customers dataset...
2026-07-20 20:58:15,552 | INFO | FraudSystem | Customers loaded successfully. Shape: (2469, 7)
2026-07-20 20:58:15,552 | INFO | FraudSystem | Loading transactions dataset...
2026-07-20 20:58:27,721 | INFO | FraudSystem | Transactions loaded successfully. Shape: (3500000, 17)
2026-07-20 20:58:27,721 | INFO | FraudSystem | Merging datasets...
2026-07-20 20:58:28,400 | INFO | FraudSystem | Datasets merged successfully. Final shape: (3500000, 23)
2026-07-20 20:58:28,400 | INFO | FraudSystem | Dataset loaded successfully. Shape: (3500000, 23)
2026-07-20 20:58:28,409 | INFO | FraudSystem | Columns:
['transaction_id', 'customer_id', 'account_number_x', 'timestamp', 'transaction_date', 'transaction_time', 'transaction_amount', 'currency', 'transaction_country', 'transaction_country_iso', 'transaction_city', 'is_cross_border', 'merchant_name', 'merchant_category', 'channel', 'card_type_x', 'transaction_type', 'account_number_y', 'home_country', 'home_city', 'avg_monthly_income', 'account_age_days', 'card_type_y']
2026-07-20 20:58:28,409 | INFO | FraudSystem | Running feature engineering...
2026-07-20 20:58:28,409 | INFO | FraudSystem | Starting feature engineering...
2026-07-20 20:58:28,492 | INFO | FraudSystem | Converting timestamp column...
2026-07-20 20:58:29,801 | INFO | FraudSystem | Creating time-based features...
2026-07-20 20:58:30,115 | INFO | FraudSystem | Creating customer statistics...
2026-07-20 20:58:30,390 | INFO | FraudSystem | Creating merchant statistics...
2026-07-20 20:58:30,516 | INFO | FraudSystem | Creating financial features...
2026-07-20 20:58:30,531 | INFO | FraudSystem | Feature engineering completed successfully. Shape: (3500000, 31)
2026-07-20 20:58:30,551 | INFO | FraudSystem | Feature engineering completed. Shape: (3500000, 31)
2026-07-20 20:58:30,551 | INFO | FraudSystem | Dropping unused columns...
2026-07-20 20:58:30,551 | ERROR | FraudSystem | Training pipeline failed.
Traceback (most recent call last):
  File "C:\Users\user\Fraud_System\training\train.py", line 88, in train
    df = df.drop(columns=drop_columns)
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\user\Fraud_System\.venv\Lib\site-packages\pandas\core\frame.py", line 6300, in drop
    return super().drop(
           ^^^^^^^^^^^^^
  File "C:\Users\user\Fraud_System\.venv\Lib\site-packages\pandas\core\generic.py", line 4644, in drop
    obj = obj._drop_axis(labels, axis, level=level, errors=errors)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\user\Fraud_System\.venv\Lib\site-packages\pandas\core\generic.py", line 4686, in _drop_axis
    new_axis = axis.drop(labels, errors=errors)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\user\Fraud_System\.venv\Lib\site-packages\pandas\core\indexes\base.py", line 7268, in drop
    raise KeyError(f"{labels[mask].tolist()} not found in axis")
KeyError: "['account_number'] not found in axis"
2026-07-20 21:04:20,028 | INFO | FraudSystem | ============================================================
2026-07-20 21:04:20,028 | INFO | FraudSystem | Testing Data Loader
2026-07-20 21:04:20,029 | INFO | FraudSystem | ============================================================
2026-07-20 21:04:20,029 | INFO | FraudSystem | Loading customers dataset...
2026-07-20 21:04:20,046 | INFO | FraudSystem | Customers loaded successfully. Shape: (2469, 7)
2026-07-20 21:04:20,046 | INFO | FraudSystem | Loading transactions dataset...
2026-07-20 21:04:38,216 | INFO | FraudSystem | Transactions loaded successfully. Shape: (3500000, 17)
2026-07-20 21:04:38,216 | INFO | FraudSystem | Merging datasets...
2026-07-20 21:04:39,182 | INFO | FraudSystem | Datasets merged successfully. Shape: (3500000, 23)
2026-07-20 21:04:39,182 | INFO | FraudSystem | Removing duplicate columns: ['account_number_customer', 'card_type_customer']
2026-07-20 21:04:39,191 | INFO | FraudSystem | Final dataframe shape: (3500000, 21)
2026-07-20 21:04:39,191 | INFO | FraudSystem | Final columns: ['transaction_id', 'customer_id', 'account_number', 'timestamp', 'transaction_date', 'transaction_time', 'transaction_amount', 'currency', 'transaction_country', 'transaction_country_iso', 'transaction_city', 'is_cross_border', 'merchant_name', 'merchant_category', 'channel', 'card_type', 'transaction_type', 'home_country', 'home_city', 'avg_monthly_income', 'account_age_days']
2026-07-20 21:04:39,225 | INFO | FraudSystem | Data loader test completed successfully.
2026-07-20 21:05:12,770 | INFO | FraudSystem | ============================================================
2026-07-20 21:05:12,770 | INFO | FraudSystem | Starting Fraud Model Training
2026-07-20 21:05:12,770 | INFO | FraudSystem | ============================================================
2026-07-20 21:05:12,770 | INFO | FraudSystem | Loading dataset...
2026-07-20 21:05:12,770 | INFO | FraudSystem | Loading customers dataset...
2026-07-20 21:05:12,778 | INFO | FraudSystem | Customers loaded successfully. Shape: (2469, 7)
2026-07-20 21:05:12,778 | INFO | FraudSystem | Loading transactions dataset...
2026-07-20 21:05:29,196 | INFO | FraudSystem | Transactions loaded successfully. Shape: (3500000, 17)
2026-07-20 21:05:29,196 | INFO | FraudSystem | Merging datasets...
2026-07-20 21:05:30,183 | INFO | FraudSystem | Datasets merged successfully. Shape: (3500000, 23)
2026-07-20 21:05:30,183 | INFO | FraudSystem | Removing duplicate columns: ['account_number_customer', 'card_type_customer']
2026-07-20 21:05:30,184 | INFO | FraudSystem | Final dataframe shape: (3500000, 21)
